Participant ID,Scene,Absolute time,Relative time in session,Happy,Enjoyment,Hope,Pride,Anger,Frustration,Anxiety,Fear,Shame,Hopelessness,Boredom,Surprise,Contempt,Disgust,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Boredom Average,Curiosity Average
MT208PN42115,scene0,17:19:20,0:21:05.959,3,4,4,3,1,1,1,1,1,1,2,1,1,1,1,3,1,1,4,3,,
MT208PN42115,scene1,17:41:20,0:43:06.111,4,3,4,4,1,1,1,1,1,1,3,3,1,1,3,3,1,1,3,4,,
MT208PN42115,scene2,18:08:21,1:10:07.419,4,2,4,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,4,4,,
MT208PN42115,scene3,18:24:19,1:25:47.149,3,2,4,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,3,,
MT208PN42115,scene4,18:42:06,1:43:34.029,3,2,4,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,2,2.6,2.6
MT208PN42123,scene0,16:48:27,0:17:34.375,3,3,4,2,1,1,1,1,1,1,3,1,1,1,1,4,1,1,5,4,,
MT208PN42123,scene1,17:10:04,0:39:11.400,2,2,3,3,3,2,1,1,1,1,2,1,1,1,1,4,1,1,4,4,,
MT208PN42123,scene2,17:28:58,0:58:05.278,3,3,3,1,1,3,1,1,1,1,4,1,1,1,1,2,1,2,5,4,,
MT208PN42123,scene3,17:44:47,1:13:41.148,3,3,3,1,1,3,1,1,1,1,4,1,1,1,1,2,1,3,5,3,,
MT208PN42123,scene4,18:01:25,1:30:14.040,4,4,3,1,1,2,1,1,1,1,3,1,1,1,1,3,1,2,5,3,3.2,3
MT208PN42124,scene0,13:21:56,0:15:11.422,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,5,,
MT208PN42124,scene1,13:44:43,0:37:58.713,5,5,5,5,1,1,1,1,1,1,1,2,1,1,1,5,1,4,3,5,,
MT208PN42124,scene2,14:05:35,0:58:50.392,5,5,5,5,1,1,1,1,1,1,1,1,3,1,1,5,1,3,3,5,,
MT208PN42124,scene3,14:19:56,1:13:11.612,5,5,5,5,1,1,1,1,1,1,1,1,3,1,1,5,1,3,3,5,,
MT208PN42124,scene4,14:36:35,1:29:51.108,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,3,3,5,1,5
MT208PN42126,scene0,10:17:26,0:18:37.170,4,4,5,4,1,2,3,1,1,1,2,1,1,1,1,5,1,2,2,5,,
MT208PN42126,scene1,10:38:49,0:39:59.990,4,4,5,4,1,1,1,1,1,1,2,5,1,1,2,5,1,3,2,5,,
MT208PN42126,scene2,10:57:00,0:58:11.697,4,4,5,4,1,2,2,1,1,1,2,1,1,1,1,5,1,2,3,5,,
MT208PN42126,scene3,11:12:37,1:13:48.068,3,3,4,4,1,3,1,1,1,1,4,1,1,1,1,3,1,1,2,4,,
MT208PN42126,scene4,11:29:34,1:30:44.994,3,2,5,4,1,3,2,1,1,1,4,1,1,1,1,4,1,1,2,4,2.8,4.4
MT208PN42129,scene0,18:21:03,0:14:35.128,3,3,3,3,1,1,3,1,1,1,3,1,1,1,2,4,2,1,5,4,,
MT208PN42129,scene1,18:45:11,0:38:43.202,4,3,3,3,1,1,3,1,1,1,1,2,1,1,1,5,1,2,5,4,,
MT208PN42129,scene2,19:09:32,1:03:04.739,3,4,3,3,1,1,3,2,1,1,3,1,1,1,1,4,1,2,5,4,,
MT208PN42129,scene3,19:20:16,1:13:48.147,3,3,3,3,1,1,2,1,1,1,2,2,1,1,1,4,1,1,4,4,,
MT208PN42129,scene4,19:37:30,1:31:02.457,3,3,3,3,1,1,3,1,1,1,2,1,1,1,1,3,1,1,4,4,2.2,4
MT208PN42135,scene0,13:57:14,0:16:37.465,5,5,5,5,1,1,4,1,1,1,3,2,1,1,3,4,1,2,3,4,,
MT208PN42135,scene1,14:18:59,0:38:22.819,3,3,3,3,3,3,3,3,3,3,4,4,2,2,4,3,2,2,3,3,,
MT208PN42135,scene2,14:45:59,1:05:22.327,3,3,3,3,2,2,4,1,1,1,4,3,3,3,4,4,2,2,4,2,,
MT208PN42135,scene3,15:01:48,1:21:11.947,2,3,3,3,2,2,3,2,2,2,4,3,2,2,3,3,2,2,2,2,,
MT208PN42135,scene4,15:18:48,1:38:11.783,2,2,3,2,3,4,3,2,2,2,4,4,2,2,3,3,2,2,2,2,3.8,3.4
MT208PN42140,scene0,11:21:59,0:16:31.495,3,4,4,3,1,3,3,2,3,2,2,4,2,1,4,4,2,3,3,4,,
MT208PN42140,scene1,11:43:54,0:38:26.125,3,4,4,2,1,3,4,1,3,3,2,3,1,1,4,4,1,4,3,4,,
MT208PN42140,scene2,12:03:17,0:57:49.402,3,4,4,3,1,3,3,1,3,3,2,3,1,1,3,4,2,3,4,4,,
MT208PN42140,scene3,12:20:00,1:14:31.858,3,3,2,2,1,4,4,1,4,4,2,3,1,1,4,3,3,2,3,4,,
MT208PN42140,scene4,12:35:41,1:30:12.849,2,3,2,2,1,4,4,1,4,3,1,3,1,1,4,3,3,2,3,4,1.8,3.6
MT208PN42146,scene0,15:22:11,0:15:29.422,3,1,2,2,1,2,1,1,1,1,5,1,1,1,1,1,1,1,3,3,,
MT208PN42146,scene1,15:43:24,0:36:42.522,1,1,3,1,1,3,1,1,1,1,5,1,3,1,1,1,1,1,3,3,,
MT208PN42146,scene2,16:03:09,0:56:27.192,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,3,1,,
MT208PN42146,scene3,16:19:10,1:12:28.164,1,1,3,1,1,5,1,1,1,1,3,1,1,3,1,1,1,1,3,1,,
MT208PN42146,scene4,16:36:22,1:29:40.164,1,1,1,1,5,5,1,1,3,1,1,5,1,5,1,1,5,1,3,1,3.8,1
MT208PN42147,scene0,12:52:43,0:16:07.464,4,4,5,3,1,1,3,1,3,1,2,1,2,1,1,4,1,1,3,3,,
MT208PN42147,scene1,13:13:48,0:37:13.125,4,4,3,3,2,2,2,1,3,1,2,1,2,1,2,3,1,3,3,4,,
MT208PN42147,scene2,13:35:11,0:58:35.506,3,3,4,2,1,1,2,1,3,1,3,1,1,1,1,1,1,3,3,3,,
MT208PN42147,scene3,13:53:44,1:17:09.092,3,3,3,2,1,1,4,1,2,3,1,1,2,1,2,1,1,2,1,4,,
MT208PN42147,scene4,14:10:48,1:34:13.315,3,3,4,3,1,1,3,1,2,2,2,1,2,1,1,1,1,3,3,1,2,2
MT208PN42148,scene0,14:24:21,0:13:43.099,4,5,5,5,2,1,3,1,1,1,1,4,3,1,2,5,1,1,1,5,,
MT208PN42148,scene1,14:45:54,0:35:16.275,4,5,5,5,1,1,3,1,1,1,1,4,1,1,1,4,1,5,1,4,,
