ID, Group, Gender, Age, Ethnicity, Education, GPA, #Courses, Session duration, Reading duration, #Subgoals validated, #Subgoals attempted, Worked without subgoal, #Note Taking, #Note Checking, #Summaries added to notes, Note Taking Duration, Note Checking Duration, #PLAN, #SUMM, #MPTG, #PKA, #JOL, #FOK, #CE, #INF, #DEPENDS, Mean # of SRL processes per relevant page while on SG1, Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times), Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times), DurationDay2InSecs, TimeSpentWithContentOverall, TimePageRelSG, TimePageIrrelSG, TotalTimeWithRelTextContent, TotalTimeWithRelFullContent, TotalTimeWithIrrelTextContent, TotalTimeWithIrrelFullContent, NumberSG, TotalTimeSettingSG, TimePaperNotes, TimeINF, RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active, RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active, RatioPagesRelevantToInitialSubgoal1ReadAtAnytime, RatioPagesRelevantToInitialSubgoal2ReadAtAnytime, ImagesOpened_num, 
MT208PN41080,2,1,21,2,3,3.5,0,4548,1975,0,2,0,2,1,3,177,21,3,4,0,7,1,0,0,0,0,1.166666667,1.8,1.166666667,4664,0.868026026,0.671388154,0.025929484,0.309317525,0.333060012,0.019926926,0.006002559,2,0.000181142,0.181000694,0,0.357142857,0.333333333,0.357142857,0.333333333,9, 
MT208PN41081,1,1,20,2,3,3.8,0,4289,3397,2,3,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0.05,0.052631579,4381,0.904513203,0.427590923,0.401099691,0.234701279,0.192889644,0,0.18404843,3,0.000152919,0,0,0.15,0.157894737,1,1,29, 
MT208PN41082,1,1,22,2,4,3.3,0,4464,2336,1,2,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0.4,0.222222222,0.4,4595,0.90091406,0.681131119,0.114255284,0.16334253,0.494207982,0.000612057,0.112511151,2,0.000139252,0.271897832,0,0.421052632,0.555555556,0.473684211,0.555555556,13, 
MT208PN41083,1,1,20,2,3,2.57,0,4276,1913,2,2,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0.142857143,0.4,0.25,4652,0.846763468,0.575846435,0.202107136,0.556914971,0.018931464,0,0.138579908,2,0.000125737,0.336514298,0,0.2,0,0.6,0.533333333,7, 
MT208PN41084,1,2,31,4,1,3.2,0,4472,3448,0,1,0,18,1,0,1313,133,2,0,0,0,1,2,0,0,0, ?,1.230769231,0.833333333,4325,0.950358283,0.627607128,0.211064112,0.562090178,0.005938705,0.027827318,0.03257768,2,0.000131319,0,0,0.6,0,0.65,0.545454545,5, 
MT208PN41085,2,1,24,2,4,3.5,1,4501,2691,0,1,0,7,1,3,796,5,2,3,0,4,1,0,0,0,0, ?,1.5,1.75,4544,0.88578887,0.454145163,0.161358872,0.274370508,0.159282258,0.018941704,0.066973607,2,0.000161737,0,0,0.4,0,0.4,0.285714286,4, 
MT208PN41086,1,1,20,1,4,3.4,1,4270,3404,2,2,1,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0.133333333,0.052631579,4393,0.897437981,0.227073112,0.605430419,0.114279633,0.112793478,0,0.173562414,2,0.000121096,0,0,0.6,0.052631579,0.933333333,0.789473684,19, 
MT208PN41087,1,1,21,2,2,3,0,4415,2675,1,2,0,8,3,0,1314,475,2,0,1,0,0,4,2,0,0,0.117647059,1.117647059,1.117647059,4468,0.918770045,0.776394124,0.044847879,0.748235946,0,0.010423427,0,2,0.000142995,0.156058249,0,0.263157895,0,0.578947368,0.5,0, 
MT208PN41088,2,1,24,2,4,3.4,2,4657,3406,0,1,0,8,1,0,1921,5,2,2,0,2,1,1,0,0,0, ?,6,1.666666667,4427,0.935586903,0.269990702,0.499736769,0.056859464,0.213131238,0,0,2,0.000131672,0.001168334,0,0.2,0,0.2,0.315789474,2, 
MT208PN41089,2,1,22,2,4,3.81,3,4780,3489,1,2,0,0,0,0,0,0,3,1,1,3,7,0,0,0,0,0.8,0.071428571,0.666666667,4348,0.983054714,0.370411308,0.435652463,0.140755874,0.219438218,0.007065001,0.380545039,2,0.000153632,0.029032995,0,0.285714286,0.466666667,1,1,26, 
MT208PN41090,2,2,23,4,4,3,4,4588,1637,0,1,0,0,0,1,0,0,3,3,0,1,1,0,0,0,3, ?,1.6,1.5,4981,0.831674945,0.516587125,0.086765291,0.257064351,0.209680194,0.000363965,0,2,0.000184291,0.190561472,0,0.285714286,0,0.285714286,0.2,3, 
MT208PN41091,2,1,25,2,4,2.7,0,5272,3357,0,1,0,0,0,1,0,0,2,1,0,2,3,1,0,0,0, ?,0.461538462,0.384615385,4631,1.009736841,0.515380192,0.251085908,0.339367173,0.176013019,0,0.028823165,2,0.000138404,0.204897073,0,0.65,0,0.65,0.684210526,13, 
MT208PN41092,1,1,20,1,3,3.69,5,4340,3059,3,3,1,25,1,1,1576,2,5,1,3,0,1,0,2,1,0,0.5,1.111111111,1.2,4483,0.895662421,0.325519835,0.472931845,0.242059319,0.083460516,0,0.078812345,3,0.000181796,0,0.00620403,0.555555556,0,1,1,10, 
