,key,Session duration,Reading duration,#Subgoals validated,#Subgoals attempted,Worked without subgoal,#Subgoals changes,#Note Taking,#Summaries added to notes,Note Taking Duration,Note Checking Duration,#SUMM,#TN,#MPTG,#PKA,#JOL,#FOK,Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times),Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times),TimeSpentWithContentOverall,TimePageRelSG,TimePageIrrelSG,TotalTimeWithRelFullContent,TotalTimeWithIrrelFullContent,NumberSG,TimeINF,RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active,RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active,RatioPagesRelevantToInitialSubgoal1ReadAtAnytime,RatioPagesRelevantToInitialSubgoal2ReadAtAnytime,ImagesOpened_num,TimePageRelSG_mod,TimePageIrrelSG_mod,TotalTimeWithRelTextContent_mod,TotalTimeWithRelFullContent_mod,TotalTimeWithIrrelFullContent_mod,TotalTimeSettingSG_mod,TimeFullView_total_mod,Enjoyment,Contempt,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Hope,Pride,Frustration,Anxiety,Shame,Hopelessness,Boredom,Surprise
219,"('MT208PN41056', 2)",4552.0,2968.0,0.0,1.0,False,1.0,4.0,0.0,498.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,1.4444444179534912,1.399999976158142,0.9257171154022217,0.6757699251174927,0.10198219865560532,0.08327816426753998,0.031537655740976334,2.0,0.0,0.4736842215061188,0.0,0.4736842215061188,0.4545454680919647,8.0,0.7299961447715759,0.11016561836004257,0.5386935472488403,0.08996070176362991,0.03406834974884987,0.0001477089390391484,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,"('MT208PN41056', 3)",4552.0,2968.0,0.0,1.0,False,1.0,4.0,0.0,498.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,1.4444444179534912,1.399999976158142,0.9257171154022217,0.6757699251174927,0.10198219865560532,0.08327816426753998,0.031537655740976334,2.0,0.0,0.4736842215061188,0.0,0.4736842215061188,0.4545454680919647,8.0,0.7299961447715759,0.11016561836004257,0.5386935472488403,0.08996070176362991,0.03406834974884987,0.0001477089390391484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,"('MT208PN41056', 1)",4552.0,2968.0,0.0,1.0,False,1.0,4.0,0.0,498.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,1.4444444179534912,1.399999976158142,0.9257171154022217,0.6757699251174927,0.10198219865560532,0.08327816426753998,0.031537655740976334,2.0,0.0,0.4736842215061188,0.0,0.4736842215061188,0.4545454680919647,8.0,0.7299961447715759,0.11016561836004257,0.5386935472488403,0.08996070176362991,0.03406834974884987,0.0001477089390391484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,"('MT208PN41023', 1)",4490.0,2896.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333358168602,0.125,0.9280976057052612,0.48322156071662903,0.3313944935798645,0.3380461037158966,0.23288337886333466,2.0,0.0,0.6428571343421936,0.0,0.6428571343421936,0.7777777910232544,21.0,0.5206581354141235,0.35706856846809387,0.15642261505126953,0.364235520362854,0.2509255111217499,0.0001408706302754581,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,"('MT208PN41023', 2)",4490.0,2896.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333358168602,0.125,0.9280976057052612,0.48322156071662903,0.3313944935798645,0.3380461037158966,0.23288337886333466,2.0,0.0,0.6428571343421936,0.0,0.6428571343421936,0.7777777910232544,21.0,0.5206581354141235,0.35706856846809387,0.15642261505126953,0.364235520362854,0.2509255111217499,0.0001408706302754581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,"('MT208PN41023', 4)",4490.0,2896.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333358168602,0.125,0.9280976057052612,0.48322156071662903,0.3313944935798645,0.3380461037158966,0.23288337886333466,2.0,0.0,0.6428571343421936,0.0,0.6428571343421936,0.7777777910232544,21.0,0.5206581354141235,0.35706856846809387,0.15642261505126953,0.364235520362854,0.2509255111217499,0.0001408706302754581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
225,"('MT208PN41023', 5)",4490.0,2896.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333358168602,0.125,0.9280976057052612,0.48322156071662903,0.3313944935798645,0.3380461037158966,0.23288337886333466,2.0,0.0,0.6428571343421936,0.0,0.6428571343421936,0.7777777910232544,21.0,0.5206581354141235,0.35706856846809387,0.15642261505126953,0.364235520362854,0.2509255111217499,0.0001408706302754581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,"('MT208PN41023', 3)",4490.0,2896.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333358168602,0.125,0.9280976057052612,0.48322156071662903,0.3313944935798645,0.3380461037158966,0.23288337886333466,2.0,0.0,0.6428571343421936,0.0,0.6428571343421936,0.7777777910232544,21.0,0.5206581354141235,0.35706856846809387,0.15642261505126953,0.364235520362854,0.2509255111217499,0.0001408706302754581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,"('MT208PN41058', 3)",4992.0,2146.0,0.0,1.0,False,1.0,1.0,1.0,105.0,374.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.8107949495315552,0.37384891510009766,0.14370113611221313,0.04059349000453949,0.0,2.0,0.0,0.30000001192092896,0.0,0.30000001192092896,0.1111111119389534,1.0,0.4610893428325653,0.17723487317562103,0.4110230505466461,0.05006628483533859,0.0,0.0002472252235747874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
228,"('MT208PN41058', 1)",4992.0,2146.0,0.0,1.0,False,1.0,1.0,1.0,105.0,374.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.8107949495315552,0.37384891510009766,0.14370113611221313,0.04059349000453949,0.0,2.0,0.0,0.30000001192092896,0.0,0.30000001192092896,0.1111111119389534,1.0,0.4610893428325653,0.17723487317562103,0.4110230505466461,0.05006628483533859,0.0,0.0002472252235747874,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
