
> print("Dataset,Window,Runs,K,Classifier,Accuracy")
[1] "Dataset,Window,Runs,K,Classifier,Accuracy"

> sink()
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.347826086956522,0.25,0,0,0.545454545454545"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.366666666666667,0.222222222222222,0,0,0.75"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.4,0,0,0,1"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.4,0,0,0,1"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.4"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.387096774193548,0.5,0.166666666666667,0.25,1.16083916083916"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.40625,0.347222222222222,0.285714285714286,0,1.51923076923077"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.40625,0,0,0,2"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.40625,0,0,0,2"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.40625"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.3,0.666666666666667,0.53030303030303,0.25,1.82750582750583"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.28125,0.513888888888889,0.285714285714286,0,2.51923076923077"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.25,0,0,0,3"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.25,0,0,0,3"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.34375"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.451612903225806,1,1.15530303030303,0.25,2.32750582750583"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.382352941176471,0.513888888888889,0.841269841269841,0,3.13461538461538"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.382352941176471,0,0,0,4"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.382352941176471,0,0,0,4"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.382352941176471"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.32258064516129,1.66666666666667,1.36958874458874,0.416666666666667,2.82750582750583"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.147058823529412,0.847222222222222,0.841269841269841,0,3.53461538461538"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.294117647058824,0,0,0,5"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.294117647058824,0,0,0,5"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.441176470588235"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.321428571428571,1.66666666666667,1.36958874458874,0.416666666666667,3.51981351981352"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.393939393939394,0.847222222222222,0.841269841269841,0,4.40128205128205"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.393939393939394,0,0,0,5.86666666666667"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.454545454545455,0,0,0,6"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.454545454545455"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.423076923076923,1.88888888888889,2.03625541125541,0.416666666666667,4.01981351981352"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.392857142857143,0.847222222222222,1.00793650793651,0,5.31037296037296"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.357142857142857,0,0,0,6.77575757575758"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.392857142857143,0,0,0,7"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.392857142857143"
[1] "frustration_boredom,full_prev_3,1,8,Logit,0.463414634146341,2.52525252525253,2.03625541125541,0.75,4.5461293092872"
[1] "frustration_boredom,full_prev_3,1,8,RF,0.456521739130435,0.847222222222222,1.40793650793651,0,6.1364599168947"
[1] "frustration_boredom,full_prev_3,1,8,NN,0.5,0,0,0,7.77575757575758"
[1] "frustration_boredom,full_prev_3,1,8,SVM,0.5,0,0,0,8"
[1] "frustration_boredom,full_prev_3,1,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,1,8,WithinBase,0.5"
[1] "frustration_boredom,full_prev_3,2,8,Logit,0.4,3.02525252525253,2.03625541125541,0.875,5.21279597595387"
[1] "frustration_boredom,full_prev_3,2,8,RF,0.40625,1.51388888888889,1.40793650793651,0,6.86979325022803"
[1] "frustration_boredom,full_prev_3,2,8,NN,0.46875,0,0,0,8.77575757575758"
[1] "frustration_boredom,full_prev_3,2,8,SVM,0.46875,0,0,0,9"
[1] "frustration_boredom,full_prev_3,2,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,2,8,WithinBase,0.46875"
[1] "frustration_boredom,full_prev_3,2,8,Logit,0.243243243243243,3.17909867909868,2.39989177489177,1.075,5.46279597595387"
[1] "frustration_boredom,full_prev_3,2,8,RF,0.232558139534884,1.51388888888889,1.57460317460317,0,7.5364599168947"
[1] "frustration_boredom,full_prev_3,2,8,NN,0.27906976744186,0,0,0,9.77575757575758"
[1] "frustration_boredom,full_prev_3,2,8,SVM,0.27906976744186,0,0,0,10"
[1] "frustration_boredom,full_prev_3,2,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,2,8,WithinBase,0.325581395348837"
[1] "frustration_boredom,full_prev_3,2,8,Logit,0.25,3.17909867909868,2.39989177489177,1.075,5.86279597595387"
[1] "frustration_boredom,full_prev_3,2,8,RF,0.5,1.84722222222222,1.57460317460317,0,8.36979325022803"
[1] "frustration_boredom,full_prev_3,2,8,NN,0.333333333333333,0,0,0,10.4424242424242"
[1] "frustration_boredom,full_prev_3,2,8,SVM,0.5,0,0,0,11"
[1] "frustration_boredom,full_prev_3,2,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,2,8,WithinBase,0.5"
[1] "frustration_boredom,full_prev_3,2,8,Logit,0.405405405405405,3.67909867909868,2.99989177489178,1.24166666666667,6.13552324868114"
[1] "frustration_boredom,full_prev_3,2,8,RF,0.395348837209302,1.84722222222222,1.87460317460317,0,9.30312658356137"
[1] "frustration_boredom,full_prev_3,2,8,NN,0.348837209302326,0,0,0,11.4424242424242"
[1] "frustration_boredom,full_prev_3,2,8,SVM,0.348837209302326,0,0,0,12"
[1] "frustration_boredom,full_prev_3,2,8,OverallBase,0.390334572490706"
