
> print("Dataset,Window,Runs,K,Classifier,Accuracy")
[1] "Dataset,Window,Runs,K,Classifier,Accuracy"

> sink()
[1] "frustration_boredom,full_prev_3,1,5,Logit,0.642857142857143,0.181818181818182"
[1] "frustration_boredom,full_prev_3,1,5,RF,0.755555555555556,0.307692307692308"
[1] "frustration_boredom,full_prev_3,1,5,NN,0.555555555555556,0.461538461538462"
[1] "frustration_boredom,full_prev_3,1,5,SVM,0.288888888888889,1"
[1] "frustration_boredom,full_prev_3,1,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,1,5,WithinBase,0.711111111111111"
[1] "frustration_boredom,full_prev_3,1,5,Logit,0.641509433962264,0.881818181818182"
[1] "frustration_boredom,full_prev_3,1,5,RF,0.783333333333333,0.507692307692308"
[1] "frustration_boredom,full_prev_3,1,5,NN,0.533333333333333,1.06153846153846"
[1] "frustration_boredom,full_prev_3,1,5,SVM,0.166666666666667,2"
[1] "frustration_boredom,full_prev_3,1,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,1,5,WithinBase,0.833333333333333"
[1] "frustration_boredom,full_prev_3,1,5,Logit,0.625,1.0961038961039"
[1] "frustration_boredom,full_prev_3,1,5,RF,0.706896551724138,0.721978021978022"
[1] "frustration_boredom,full_prev_3,1,5,NN,0.551724137931034,1.56153846153846"
[1] "frustration_boredom,full_prev_3,1,5,SVM,0.241379310344828,3"
[1] "frustration_boredom,full_prev_3,1,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,1,5,WithinBase,0.758620689655172"
[1] "frustration_boredom,full_prev_3,1,5,Logit,0.771428571428571,1.65165945165945"
[1] "frustration_boredom,full_prev_3,1,5,RF,0.782608695652174,0.821978021978022"
[1] "frustration_boredom,full_prev_3,1,5,NN,0.391304347826087,1.76153846153846"
[1] "frustration_boredom,full_prev_3,1,5,SVM,0.217391304347826,4"
[1] "frustration_boredom,full_prev_3,1,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,1,5,WithinBase,0.782608695652174"
[1] "frustration_boredom,full_prev_3,1,5,Logit,0.75,1.83347763347763"
[1] "frustration_boredom,full_prev_3,1,5,RF,0.733333333333333,0.821978021978022"
[1] "frustration_boredom,full_prev_3,1,5,NN,0.55,2.26153846153846"
[1] "frustration_boredom,full_prev_3,1,5,SVM,0.233333333333333,5"
[1] "frustration_boredom,full_prev_3,1,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,1,5,WithinBase,0.766666666666667"
[1] "frustration_boredom,full_prev_3,2,5,Logit,0.685185185185185,2.23347763347763"
[1] "frustration_boredom,full_prev_3,2,5,RF,0.767857142857143,1.32197802197802"
[1] "frustration_boredom,full_prev_3,2,5,NN,0.535714285714286,3.01153846153846"
[1] "frustration_boredom,full_prev_3,2,5,SVM,0.285714285714286,6"
[1] "frustration_boredom,full_prev_3,2,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,2,5,WithinBase,0.714285714285714"
[1] "frustration_boredom,full_prev_3,2,5,Logit,0.711111111111111,2.597113997114"
[1] "frustration_boredom,full_prev_3,2,5,RF,0.769230769230769,1.3989010989011"
[1] "frustration_boredom,full_prev_3,2,5,NN,0.576923076923077,3.24230769230769"
[1] "frustration_boredom,full_prev_3,2,5,SVM,0.25,7"
[1] "frustration_boredom,full_prev_3,2,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,2,5,WithinBase,0.75"
[1] "frustration_boredom,full_prev_3,2,5,Logit,0.62,2.722113997114"
[1] "frustration_boredom,full_prev_3,2,5,RF,0.785714285714286,1.3989010989011"
[1] "frustration_boredom,full_prev_3,2,5,NN,0.535714285714286,4.02008547008547"
[1] "frustration_boredom,full_prev_3,2,5,SVM,0.160714285714286,8"
[1] "frustration_boredom,full_prev_3,2,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,2,5,WithinBase,0.839285714285714"
[1] "frustration_boredom,full_prev_3,2,5,Logit,0.722222222222222,3.41442168942169"
[1] "frustration_boredom,full_prev_3,2,5,RF,0.714285714285714,1.61318681318681"
[1] "frustration_boredom,full_prev_3,2,5,NN,0.517857142857143,4.52008547008547"
[1] "frustration_boredom,full_prev_3,2,5,SVM,0.25,9"
[1] "frustration_boredom,full_prev_3,2,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,2,5,WithinBase,0.75"
[1] "frustration_boredom,full_prev_3,2,5,Logit,0.780487804878049,4.03942168942169"
[1] "frustration_boredom,full_prev_3,2,5,RF,0.775510204081633,1.83540903540904"
[1] "frustration_boredom,full_prev_3,2,5,NN,0.408163265306122,5.07564102564103"
[1] "frustration_boredom,full_prev_3,2,5,SVM,0.183673469387755,10"
[1] "frustration_boredom,full_prev_3,2,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,2,5,WithinBase,0.816326530612245"
[1] "frustration_boredom,full_prev_3,3,5,Logit,0.9,4.63942168942169"
[1] "frustration_boredom,full_prev_3,3,5,RF,0.87719298245614,2.08540903540904"
[1] "frustration_boredom,full_prev_3,3,5,NN,0.43859649122807,5.32564102564103"
[1] "frustration_boredom,full_prev_3,3,5,SVM,0.140350877192982,11"
[1] "frustration_boredom,full_prev_3,3,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,3,5,WithinBase,0.859649122807018"
[1] "frustration_boredom,full_prev_3,3,5,Logit,0.723404255319149,4.78227883227883"
[1] "frustration_boredom,full_prev_3,3,5,RF,0.679245283018868,2.21040903540904"
[1] "frustration_boredom,full_prev_3,3,5,NN,0.584905660377358,5.82564102564103"
[1] "frustration_boredom,full_prev_3,3,5,SVM,0.150943396226415,12"
[1] "frustration_boredom,full_prev_3,3,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,3,5,WithinBase,0.849056603773585"
[1] "frustration_boredom,full_prev_3,3,5,Logit,0.590909090909091,5.00450105450105"
[1] "frustration_boredom,full_prev_3,3,5,RF,0.568627450980392,2.36425518925519"
[1] "frustration_boredom,full_prev_3,3,5,NN,0.588235294117647,6.36410256410256"
[1] "frustration_boredom,full_prev_3,3,5,SVM,0.254901960784314,13"
[1] "frustration_boredom,full_prev_3,3,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,3,5,WithinBase,0.745098039215686"
[1] "frustration_boredom,full_prev_3,3,5,Logit,0.679245283018868,5.50450105450105"
[1] "frustration_boredom,full_prev_3,3,5,RF,0.696428571428571,2.72139804639805"
[1] "frustration_boredom,full_prev_3,3,5,NN,0.464285714285714,7.07838827838828"
[1] "frustration_boredom,full_prev_3,3,5,SVM,0.25,14"
[1] "frustration_boredom,full_prev_3,3,5,OverallBase,0.773234200743494"
