,id,Tobii Fixations,New Fixations,Mean Position Difference,StdDev Position Difference,Max Position Difference,Mean Duration Difference,StdDev Duration Difference,Max Duration Difference,Match Score
0,MT208PN41043,11981,12479,17.29999730022263,71.78304898154757,1976.0617399261594,152.30635467585543,351.0599315664098,7778,0.7056655180703582
1,MT208PN41016,12212,12213,51.22500723998781,225.49219914844744,2832.0571275714515,175.82101039875542,540.4785142612219,10160,0.6651109473511831
2,MT208PN41053,16595,4216,53.0090218991892,134.3324486245109,1702.1152281793381,532.1914136622391,1118.4614649207244,9477,0.22794117647058823
3,MT208PN41089,12053,13740,744.4167840450425,2725.57308037159,23073.56729603627,206.04024745269288,535.3924272398615,16573,0.5005822416302765
4,MT208PN41011,13755,14934,411.06216545956687,2498.651520744261,25155.77128029407,203.0970938797375,461.706965543293,11443,0.5482121333869023
5,MT208PN41077,11262,3216,28.285391944898798,124.09514696096898,1750.6120348997256,197.40889303482587,516.9809818600618,5313,0.6648009950248757
6,MT208PN41083,8596,4263,194.789241311546,586.099388813691,5056.928258463498,159.42270701384,278.90666296033345,2864,0.3694581280788177
7,MT208PN41055,7255,6703,88.31757871808114,332.2971198502776,3145.1693473213554,201.1153214978368,298.9328390926676,3231,0.43622258690138743
8,MT208PN41059,14252,15672,91.25671282766999,363.86059296905506,5062.287435212958,114.70756763654926,299.4912730581369,4480,0.6862557427258805
9,MT208PN41076,15372,17656,25.214287671616415,127.42176065035602,3217.08650302152,169.93480969642047,376.7864293796063,6246,0.6660058903488899
10,MT208PN41009,18114,18011,47.82120149139206,267.5350855355777,5048.720598405921,183.38370995502748,327.9932978264183,4597,0.5708733551718395
11,MT208PN41060,17765,6474,47.688877117438146,164.51905956698792,2004.3614909964651,212.01220265678097,380.3845565737724,6546,0.37395736793327156
12,MT208PN41040,13741,14423,26.33072687913797,166.7269884840736,3644.676236925474,144.3917354225889,433.3253111207697,6095,0.7481799902932815
13,MT208PN41037,12468,11936,35.472718088809586,111.70551014796999,1505.9614868913482,283.9609584450402,865.7369824444394,29014,0.4164711796246649
14,MT208PN41027,12172,13164,50.209104661381936,215.79418751297726,2749.3642272452203,120.05598602248557,338.55558152091584,6162,0.7290337283500455
15,MT208PN41013,10377,10543,44.127359622384496,208.79855158265386,3178.1502875100164,160.6532296310348,472.7291034972625,6463,0.712036422270701
16,MT208PN41024,11923,11526,64.70087846057555,294.99092329587495,3783.6576697561986,149.100121464515,313.8675553630006,9027,0.5922262710393892
17,MT208PN41042,18118,9029,42.74254303323712,125.8594689369521,2215.60645222806,345.76542252741166,645.7710632729642,9960,0.32606047181304687
18,MT208PN41092,12410,9265,278.9261137958964,1314.3146190673203,12571.401026958049,264.16632487857527,482.23557229597526,5464,0.3638424177010254
19,MT208PN41088,13683,13313,40.57385118495355,142.65424632139607,2155.5600970708874,232.82994065950575,565.7386621316556,14823,0.5203184856906783
20,MT208PN41038,13776,14615,13.813102393021431,60.127798764174614,1656.019323558756,126.37707834416695,286.2302474614394,5246,0.7497776257269928
21,MT208PN41041,14290,15867,33.646528345145356,153.39780808296322,3238.409316776015,196.79107581773494,488.0172477324415,8911,0.6413310644734355
22,MT208PN41054,13246,13695,91.71336178190943,657.2689097313197,9574.910709433729,160.1989047097481,375.38427074844634,8327,0.633442862358525
23,MT208PN41061,15904,15792,33.19915016770991,160.09659924014954,2713.7830252226363,143.6462765957447,317.67361108957647,6529,0.6685030395136778
24,MT208PN41048,8931,15071,25038.11127030527,44807.51443985389,169970.05387764538,79.02083471567911,283.6455371661779,5797,0.30913675270386837
25,MT208PN41006,11102,10913,40.01050769883695,161.47419063720363,2257.926981596867,202.9666452854394,490.3964336464258,7145,0.597544213323559
26,MT208PN41049,16144,16809,19.382684158775604,101.16804821485361,2721.4871494760246,125.43988339579987,325.05243530585506,10294,0.7229460408114701
27,MT208PN41005,14920,12845,47.94977883004283,184.84016567805998,3107.6353148334506,205.1841961852861,415.8670106047,7344,0.47333592837680033
28,MT208PN41030,12724,12138,63.24638453100478,256.8432469184243,3739.2213920848644,176.41571922886803,400.35444403699614,6879,0.6011698797165925
29,MT208PN41045,15157,15610,137.72714922655692,900.3968344753353,11555.80346884419,202.9449071108264,468.5136505832449,6429,0.5783472133247918
30,MT208PN41010,12435,13853,87.91911710215881,419.6473361790457,6136.390350700026,243.98159243485165,419.6992892739118,6862,0.45260954305926515
31,MT208PN41020,13930,13912,27.387977020265417,116.13933311405094,1868.0439636154176,177.5104945370903,500.458242462652,6628,0.6863858539390454
32,MT208PN41029,9794,10323,164.609143192454,640.6600323513782,6369.339338096945,148.15237818463626,384.83942981357075,6030,0.5839387774871646
33,MT208PN41007,7267,6636,17.780347621469353,96.23839475896364,2136.080877495197,99.1449668474985,208.89510439122685,3264,0.7915913200723327
34,MT208PN41058,11672,12766,82.50759275708796,379.0411314078098,4384.828137607871,148.4555851480495,346.57432918821644,6179,0.6769544101519661
35,MT208PN41075,10573,10510,65.76534182849382,342.70142900211056,4238.4937726677,156.98049476688868,523.9514806200127,14539,0.6783063748810656
36,MT208PN41091,17917,16676,29.33015042170897,125.32792142059233,2107.152658068638,134.88420484528663,282.4574588906565,4564,0.6643079875269848
