,id,Tobii Fixations,New Fixations,Mean Position Difference,StdDev Position Difference,Max Position Difference,Mean Duration Difference,StdDev Duration Difference,Max Duration Difference,Match Score
0,MT208PN41043,11981,12832,30.290873589335497,145.835856425682,2515.9002675164497,154.4137312967581,367.61117379828346,7778,0.6832138403990025
1,MT208PN41016,12212,13439,182.0751171078564,733.778145929049,7850.734800547089,163.0329637621847,544.9729871222858,10876,0.6033186993079842
2,MT208PN41053,16595,5221,77.24268078082594,182.6534629443325,4742.173158875167,436.4887952499521,1035.8232603025945,9477,0.22237119325799656
3,MT208PN41089,12053,16726,3364.325340326506,9064.676923201538,53453.031893503656,176.40212842281477,512.6438160445083,16622,0.41079756068396506
4,MT208PN41011,13755,15446,188.9354820524449,950.0424602486438,10607.689721619816,194.91816651560273,459.97179263188855,11443,0.525249255470672
5,MT208PN41077,11262,3355,44.11545631781561,155.93137594562222,2199.448071526102,188.79612518628912,510.27349159974705,5313,0.6363636363636364
6,MT208PN41083,8596,6377,529.2002601365095,1196.9910162541353,9353.049793566079,120.52861847263604,276.3286012136549,2864,0.24996079661282736
7,MT208PN41055,7255,8655,867.6389279019495,3033.5484656979597,21619.972809165556,171.12755632582324,294.69287308759465,3231,0.3608318890814558
8,MT208PN41059,14252,16867,111.70582576592595,351.02411736172974,3701.0261401837915,104.88563467125155,325.1759916237732,4480,0.6395921029228672
9,MT208PN41076,15372,17946,47.7364493808073,297.7847636209477,5455.984609706165,167.68951298339462,373.15853764064656,6079,0.6541290538281511
10,MT208PN41009,18114,18561,39.91054091672109,143.5080972473706,1878.6465812775923,182.71025268035126,334.97329270085066,4597,0.5551963795054146
11,MT208PN41060,17765,7235,85.12920026692576,247.19576094522503,2222.6528832949352,195.40373185901865,367.88002417994153,6546,0.3469246717346234
12,MT208PN41040,13741,15026,49.876468467378935,240.98492064460012,3371.1465077058365,147.29681884733128,445.1052709887202,6095,0.7176893384799681
13,MT208PN41037,12468,12218,39.485180735691756,120.04409711712911,1505.9614868913482,282.99042396464233,857.1415867739386,29014,0.407513504665248
14,MT208PN41027,12172,14040,104.8617654786557,396.8730537780398,5166.540063898067,111.53212250712251,325.12372283560103,6162,0.6838319088319088
