,id,Tobii Fixations,New Fixations,Mean Position Difference,StdDev Position Difference,Max Position Difference,Mean Duration Difference,StdDev Duration Difference,Max Duration Difference,Match Score
0,MT208PN41043,11981,12565,19.84126045321376,98.0543812977298,2835.171412957713,153.9641862315957,351.03944812680277,7778,0.7020294468762436
1,MT208PN41016,12212,11889,26.309951035392046,108.7989452783419,2065.613710256591,178.11371856337792,547.51997097664,10160,0.6818067120868029
2,MT208PN41053,16595,4078,52.73616684240904,136.28168050986736,1702.1152281793381,551.9467876410005,1135.8726610720487,9477,0.22118685630210888
3,MT208PN41089,12053,12398,91.74597509862794,544.2070542537423,7988.047166812394,211.79964510404903,556.3100429389106,16573,0.5527504436199387
4,MT208PN41011,13755,14751,198.59724972151398,1255.8151572167328,13962.15725191784,204.7687614399024,465.8719852927223,11443,0.5536573791607349
5,MT208PN41077,11262,3219,32.616952467115446,138.18309665657452,1948.8159814069984,198.2475924200062,518.3905019778063,5313,0.6623174899036968
6,MT208PN41083,8596,4025,171.95732182480359,642.7141651355707,5947.551495069249,160.06782608695653,284.576572665743,2864,0.38832298136645965
7,MT208PN41055,7255,6439,104.91117454709143,483.71183474697017,5400.751521804488,209.0453486566237,301.21222413653754,3231,0.44525547445255476
8,MT208PN41059,14252,15664,150.51525087763736,743.7659491202352,9541.9213837472,117.63974719101124,291.54640266846866,4480,0.6852655771195098
9,MT208PN41076,15372,17696,27.512244514476684,126.686613480248,2585.239834135317,171.281476039783,379.8128334870427,6079,0.6641613924050633
10,MT208PN41009,18114,17981,46.314429508072635,267.11801542143104,5081.372760191377,185.58567376675379,330.10513138722246,4597,0.5722707302152272
11,MT208PN41060,17765,6365,35.509912468812004,106.30666554070855,1585.4211585569305,215.3820895522388,382.53310681510493,6546,0.3776904948939513
12,MT208PN41040,13741,14385,23.29573374877417,139.46231360314928,3047.3183703052755,145.30100799443866,433.82555472396115,6095,0.7496697949252694
13,MT208PN41037,12468,11880,34.53924019583326,109.51593717287635,1505.9614868913482,285.4079966329966,867.6347041925068,29014,0.4161616161616162
14,MT208PN41027,12172,13096,47.042618034592586,214.3244106945407,3158.172267423588,122.54260843005498,334.0041572320573,6162,0.7336591325595602
15,MT208PN41013,10377,10523,54.41590447946901,344.91418134124996,6063.702397043866,169.34058728499477,480.57973314946827,6463,0.7138648674332415
16,MT208PN41024,11923,11249,31.773450677584957,121.16086495924026,1447.9208855294241,152.51702373544316,313.5021183083689,9027,0.6044981776157881
17,MT208PN41042,18118,9027,41.768161480408416,115.44238336597915,1780.3107172625794,345.96543702226654,645.8299439627483,9960,0.32546804032347404
18,MT208PN41092,12410,8814,232.1097378180555,1182.0095424291203,11692.027321853926,276.22600408441116,495.4718035604292,5464,0.37258906285454957
19,MT208PN41088,13683,13079,33.905991100189134,114.47328226652247,1503.011094425668,235.329000688126,567.3986396248999,14823,0.5274103524734307
20,MT208PN41038,13776,14597,13.748241589026817,61.187850170616485,1656.019323558756,127.21764746180722,284.2866031844538,5246,0.7502226484894157
21,MT208PN41041,14290,15756,29.85067985913518,125.23806582751044,2227.5845561528063,198.38334602691037,489.6798959726668,8911,0.6446433104848946
22,MT208PN41054,13246,13681,76.40951566624265,513.4204115539444,7640.44810957943,163.65316862802428,376.7289733211468,8327,0.6338717929975879
23,MT208PN41061,15904,15656,31.351551164444157,155.37985500057223,3028.504655739316,145.13100408788964,316.906726692584,6529,0.6711803781297905
24,MT208PN41048,8931,12608,27276.106790070626,53979.83819489314,209274.13000068394,93.83827728426395,312.5291866125828,5813,0.3709549492385787
25,MT208PN41006,11102,10768,32.9115475806731,145.8545664238845,2764.137216076393,203.95208023774146,490.8702323418963,7145,0.6051263001485884
26,MT208PN41049,16144,16830,17.173845950072185,73.22682158865052,1612.274257082533,127.44973262032086,323.5931331217537,10294,0.7229946524064171
27,MT208PN41005,14920,12613,36.75043231365712,135.73708721391512,3107.6353148334506,205.37096646317292,408.402469923699,7344,0.4763339411718069
28,MT208PN41030,12724,11788,45.46100420231262,204.05304507135347,2998.723265936034,184.41143535799117,402.0395903986606,6879,0.6159653885307091
29,MT208PN41045,15157,15165,30.358006370557554,113.43961412193228,1502.8493770168718,201.07754698318496,466.25782265953796,6429,0.5935377514012529
30,MT208PN41010,12435,13612,62.924942458529415,290.55107021141407,4175.736844777212,247.30553923009109,419.7437560770536,6862,0.45871290038201584
31,MT208PN41020,13930,13860,26.122682082261477,110.76915840862975,1868.0439636154176,179.04271284271283,508.1332880606754,6613,0.6885281385281385
32,MT208PN41029,9794,10231,126.29819118761169,541.3114686200006,6581.487569515593,157.32997751930407,385.0837326922986,6030,0.5930016616166552
33,MT208PN41007,7267,6666,18.453957841492805,96.40420960465352,2099.5829930536665,100.3076807680768,209.09666193752363,3264,0.7905790579057905
34,MT208PN41058,11672,12359,32.58884894596824,145.77701284298698,2176.3020240766214,150.99045230196617,348.38346961721686,6179,0.6988429484586132
35,MT208PN41075,10573,10305,34.07117302631998,179.4598679683673,3049.68091563394,159.2001940805434,528.9134681292596,14556,0.6902474526928676
