,id,Tobii Fixations,New Fixations,Mean Position Difference,StdDev Position Difference,Max Position Difference,Mean Duration Difference,StdDev Duration Difference,Max Duration Difference,Match Score
0,MT208PN41043,11981,12559,18.6560949112013,84.79111929329854,1976.0617399261594,154.99347081774027,351.3299774326218,7778,0.7029222071821005
1,MT208PN41016,12212,11767,23.448683153123394,106.63222885631195,2512.351388056677,179.1176170646724,550.6655927035082,10160,0.6859862326846266
2,MT208PN41053,16595,4001,53.26917991350156,139.09847506701496,1702.1152281793381,557.4143964008998,1142.0173664688127,9477,0.21544613846538366
3,MT208PN41089,12053,12449,125.01061153250097,773.4752815607136,9659.572260198689,210.00514097517873,552.1319057893246,16573,0.5491204112780143
4,MT208PN41011,13755,14366,26.02213863017207,89.00452567122989,2092.0769584315008,210.06111652512877,471.3743743599816,11443,0.5657107058332174
5,MT208PN41077,11262,3188,32.86768941244519,157.99155579165884,2373.087002798583,198.4965495608532,515.6157174251465,5313,0.6609159347553325
6,MT208PN41083,8596,4097,431.3093549532768,1447.02124974289,10047.585027613763,145.52257749572857,380.5185798259669,2864,0.37466438857700757
7,MT208PN41055,7255,6088,40.063838760793246,185.25833274073182,3234.641465623789,200.29648488830486,470.4245646216517,3231,0.4632063074901445
8,MT208PN41059,14252,14948,87.75361833053162,404.2838794054645,4961.1894378729485,121.7946213540273,317.5122086497802,6946,0.7148782445812149
9,MT208PN41076,15372,17561,19.403950882264457,74.2714741331663,2585.239834135317,171.16098172085873,382.7567256129115,6079,0.6693810147485906
10,MT208PN41009,18114,17971,45.38423881529025,267.29232819135456,5769.666794108568,186.53146736408658,331.6531982549002,4597,0.5719770741750598
11,MT208PN41060,17765,6327,34.50805276090072,104.98198615904565,1585.4211585569305,215.54670459933618,383.21349724549407,6546,0.3791686423265371
12,MT208PN41040,13741,14365,22.9209597203658,136.65005994737294,3047.3183703052755,147.34027149321267,437.7546718370198,6095,0.7473024712843718
13,MT208PN41037,12468,11894,35.726953376128,112.87900165773301,1505.9614868913482,284.5448965865142,867.1965340182034,29014,0.41264503110812173
14,MT208PN41027,12172,13300,70.76895189533536,316.7045220914505,3643.3165964908435,127.0587969924812,339.0865988288533,6162,0.721203007518797
15,MT208PN41013,10377,10547,53.00942354828681,299.0498532258158,4523.576129568287,175.33914857305396,489.85330047292587,6463,0.7101545463164881
16,MT208PN41024,11923,11097,32.03013754408613,146.565868366539,2408.1793098593557,151.10822744886005,330.6348767708897,9027,0.6085428494187618
17,MT208PN41042,18118,9001,40.695410296978224,109.62465537022426,1780.3107172625794,346.26052660815463,647.2697984503078,9960,0.3261859793356294
18,MT208PN41092,12410,8644,45.032207482966044,135.7173006614076,1467.7118245759282,264.4477093937992,516.6708600025108,5464,0.39703840814437763
19,MT208PN41088,13683,12876,29.811437760670003,103.5565516765062,1530.669134725072,236.2609506057782,569.7347346332508,14823,0.5305219012115564
20,MT208PN41038,13776,14592,14.194167211612715,66.67963580575106,2345.474202280318,127.54207785087719,285.3787080379058,5246,0.7495202850877193
21,MT208PN41041,14290,15613,24.358172648255447,97.35576287526791,1541.5750776669506,199.6885287901108,490.12500430342476,8911,0.6496509319157112
22,MT208PN41054,13246,13459,23.74230140628528,98.27540366184502,1788.5902556312506,170.7965673527008,387.1337056567569,8327,0.6377888401812913
23,MT208PN41061,15904,15510,25.304346256075828,107.82740438488467,2007.2220853707245,147.7863958736299,318.4171259647353,6529,0.6726627981947131
24,MT208PN41048,8931,11759,7909.930709689659,15967.172856123616,72115.41425098515,72.68407177481079,1621.05028646181,5813,0.39093460328259205
25,MT208PN41006,11102,10700,29.3110819882948,118.92371244841681,1592.272589728279,205.65757009345793,490.63327372266053,7145,0.6072897196261682
26,MT208PN41049,16144,16839,17.288968231307592,73.58531308782308,1513.6801518415991,129.22186590652652,323.8355652371853,10294,0.7218362135518737
27,MT208PN41005,14920,12450,31.91966423664212,117.69008626006203,3107.6353148334506,206.89983935742973,409.2766072142722,7344,0.47405622489959837
28,MT208PN41030,12724,11647,52.25692188301628,257.4401865359898,3767.4481456036674,183.5853009358633,440.34765461488735,6879,0.6188718124839014
29,MT208PN41045,15157,15073,28.410767030316727,104.57548163321164,1673.0,204.14489484508724,472.13160222638044,6429,0.5931135142307438
30,MT208PN41010,12435,13467,44.78369871208655,172.23419432510283,2928.435232938953,262.7308977500557,440.183265024087,6862,0.4522907848815623
31,MT208PN41020,13930,13885,28.264862715874894,129.31691111703483,2368.6329701572167,168.47216420597766,429.42355601051213,6196,0.6862081382787181
32,MT208PN41029,9794,10196,209.25137119793436,892.4966754664406,8480.782079080416,170.2462730482542,387.9943365552368,6030,0.5846410357002746
33,MT208PN41007,7267,6585,13.053681534373464,66.66546867677182,1691.9507631571205,102.51678056188307,211.7436410761381,3264,0.7984813971146545
34,MT208PN41058,11672,12165,23.226665517809057,109.59377935816042,2341.055483865821,152.12774352651047,357.59369530750877,6179,0.7093300452116729
35,MT208PN41075,10573,10168,25.08579412103263,114.36026471828053,1856.447699413741,161.07966168371362,542.7815625945381,14556,0.6954169944925256
36,MT208PN41091,17917,16363,22.27881525050054,98.3672390219096,1891.0558827254576,136.8065146977938,281.44872411794086,4630,0.6716372303367353
37,MT208PN41032,11380,12162,37.22833221388753,179.2893482608048,3248.2471470502846,208.92698569314257,392.0890202487773,4814,0.5478539713862851
38,MT208PN41085,14462,12920,31.43137639473593,103.41966617772805,1268.6958855454684,196.2407894736842,354.81525541109664,4447,0.5301857585139319
39,MT208PN41039,13361,13340,26.92301849499426,87.97414451279028,2147.072658295476,210.97406296851574,384.62896537628416,5213,0.5348575712143928
40,MT208PN41023,12157,13352,35.60050326776109,174.53599187220632,3515.2921189234125,188.2144248052726,416.3916718049794,15123,0.5417165967645297
41,MT208PN41064,10625,8977,24.990411443144687,100.78065657227579,2154.461939789144,197.6820764175114,299.9437065460631,3564,0.4841261000334187
42,MT208PN41082,9383,8989,168.67339319997308,803.7897846020113,9379.904441872633,179.9488263433085,493.183576019262,10110,0.5446657025253087
43,MT208PN41036,11964,10892,23.987518367218552,88.72747340069672,1524.5098787538054,150.20795078957033,264.09829162236156,5896,0.5930040396621373
44,MT208PN41087,11364,12085,19.48676790427642,82.81573065728632,1272.6292597214513,179.75134464211834,595.2358680951579,14558,0.7220521307405875
45,MT208PN41081,12470,13050,20.022353955583903,66.17998264051673,1278.3509885786455,167.0135632183908,348.11834014203015,6512,0.6342528735632184
46,MT208PN41018,15250,12978,28.02653347962478,126.67307655614447,4986.89433195902,221.65680382185238,393.19191701171303,5430,0.4825859146247496
47,MT208PN41084,13399,13977,24.4399024885527,85.7409161652267,2467.726078802102,230.49195106245975,510.06664402910343,11193,0.5136295342348144
48,MT208PN41056,11073,11124,51.91434666930767,209.70101407448192,2892.62178951946,167.67961165048544,402.666263936901,6612,0.6086839266450917
49,MT208PN41086,13657,11675,22.13931698544142,79.48194758639804,1702.0268962810378,145.18064239828695,245.52504628516954,3414,0.6121627408993576
50,MT208PN41019,13331,14320,27.271485661355584,96.5292123399371,2091.181723332528,224.40879888268157,669.2897396859127,12208,0.5838687150837989
51,MT208PN41012,13541,14484,26.88791538081099,88.81798652779182,1394.9184402961075,212.14471140568904,438.19402337153946,7729,0.5548881524440762
52,MT208PN41051,14199,14837,17.62774545037016,68.88079416918022,1617.569859387841,151.76241827862776,301.3729350622449,4663,0.685785536159601
53,MT208PN41050,15240,15579,29.28812556487711,120.76317147801055,2207.974449609862,186.5745554913666,461.3940904667285,6979,0.604018229668143
54,MT208PN41068,13391,14068,21.588117379026105,99.0650985491728,1931.6687086558088,126.21360534546488,262.60449821886846,4063,0.7200739266420244
55,MT208PN41070,14503,14487,18.975774825089985,109.83561732486696,2751.6789369785997,131.50265755504935,291.2193147497873,6730,0.7197487402498792
56,MT208PN41080,14990,13580,18.35023551446394,86.48503734580952,2746.7078930967523,142.46156111929307,436.51751326994577,3881,0.6654639175257732
57,MT208PN41033,13869,15624,52.368686125234355,212.50330541565654,3805.292116482544,335.7327828981055,755.9103393947112,12175,0.47996671786994366
58,MT208PN41015,12618,12898,38.197754435021956,207.07629438282027,4020.2167825577085,172.8607536052101,458.29944060743196,15707,0.6416498681966196
59,MT208PN41073,10882,7616,27.46483781259751,85.60743574695817,1223.8177968962536,312.1185661764706,707.9857370212095,7661,0.49724264705882354
60,MT208PN41072,15423,15796,30.704683390686615,184.51479630915568,3860.688064680453,156.36832109394783,317.33604535520965,6196,0.6637123322360091
61,MT208PN41052,16486,13814,17.794673677873455,76.83499883576421,2206.407317337395,123.20797741421747,234.97961237890476,3498,0.6494860286665701
62,MT208PN41008,15921,16774,19.235768355156505,78.53980296165943,1609.1165277878417,125.69452724454513,297.5367592294082,8610,0.703886967926553
63,MT208PN41017,15802,16151,67.59801815483198,506.2117023539087,8006.32558122014,150.38684911151012,282.2453040800447,5746,0.5971147297380968
64,MT208PN41035,15928,16771,23.05304146549794,97.61440491444166,2184.5807378076006,158.45769483036193,422.9437717555499,5980,0.6934589469918311
65,MT208PN41090,3179,3070,113.95976890852563,458.5524799387284,4113.75505165293,239.70977198697068,455.425798690607,4514,0.45830618892508146
