MT208PN41005,MTBrowsingPageEvent,15:35:30.000,00:55:42.145,(punctual),24,00:00:04.782,4.782,0.5
MT208PN41005,MTBrowsingPageEvent,15:35:35.000,00:55:46.927,(punctual),25,00:00:38.780,38.078,1
MT208PN41005,MTBrowsingPageEvent,15:36:13.000,00:56:25.005,(punctual),26,00:00:12.344,12.344,0.5
MT208PN41005,MTBrowsingPageEvent,15:36:25.000,00:56:37.349,(punctual),27,00:00:08.969,8.969,1
MT208PN41005,MTBrowsingPageEvent,15:36:34.000,00:56:46.318,(punctual),28,00:00:06.320,6.032,0.5
MT208PN41005,MTBrowsingPageEvent,15:36:40.000,00:56:52.350,(punctual),0,00:03:17.845,197.845,1
MT208PN41005,MTBrowsingPageEvent,15:40:47.000,01:00:58.852,(punctual),8,00:00:02.734,2.734,0
MT208PN41005,MTBrowsingPageEvent,15:40:50.000,01:01:01.586,(punctual),6,00:00:11.940,11.094,0
MT208PN41005,MTBrowsingPageEvent,15:41:01.000,01:01:12.680,(punctual),13,00:00:01.765,1.765,1
MT208PN41005,MTBrowsingPageEvent,15:41:02.000,01:01:14.445,(punctual),14,00:00:00.750,0.75,1
MT208PN41005,MTBrowsingPageEvent,15:41:03.000,01:01:15.195,(punctual),15,00:00:00.438,0.438,1
MT208PN41005,MTBrowsingPageEvent,15:41:04.000,01:01:15.633,(punctual),16,00:00:05.844,5.844,1
MT208PN41005,MTBrowsingPageEvent,15:41:10.000,01:01:21.477,(punctual),18,00:00:00.953,0.953,0.5
MT208PN41005,MTBrowsingPageEvent,15:41:10.000,01:01:22.430,(punctual),17,00:00:03.828,3.828,1
MT208PN41005,MTBrowsingPageEvent,15:41:14.000,01:01:26.258,(punctual),20,00:00:00.453,0.453,0
MT208PN41005,MTBrowsingPageEvent,15:41:15.000,01:01:26.711,(punctual),19,00:00:00.391,0.391,0
MT208PN41005,MTBrowsingPageEvent,15:41:15.000,01:01:27.102,(punctual),18,00:01:39.660,99.66,0.5
MT208PN41005,MTBrowsingPageEvent,15:45:31.000,01:05:43.028,(punctual),19,00:00:03.109,3.109,0
MT208PN41005,MTBrowsingPageEvent,15:45:34.000,01:05:46.137,(punctual),20,00:01:36.443,96.443,0
MT208PN41005,MTBrowsingPageEvent,15:47:11.000,01:07:22.580,(punctual),21,00:00:19.188,19.188,0
MT208PN41005,MTBrowsingPageEvent,15:47:30.000,01:07:41.768,(punctual),22,00:00:00.984,0.984,1
MT208PN41005,MTBrowsingPageEvent,15:47:31.000,01:07:42.752,(punctual),23,00:00:01.626,1.626,1
MT208PN41005,MTBrowsingPageEvent,15:47:32.000,01:07:44.378,(punctual),22,00:02:40.584,160.584,1
MT208PN41005,MTBrowsingPageEvent,15:50:13.000,01:10:24.962,(punctual),23,00:00:07.735,7.735,1
MT208PN41005,MTBrowsingPageEvent,15:50:21.000,01:10:32.697,(punctual),24,00:00:24.250,24.25,1
MT208PN41005,MTBrowsingPageEvent,15:50:45.000,01:10:56.947,(punctual),17,00:01:56.784,116.784,1
MT208PN41005,MTBrowsingPageEvent,15:52:42.000,01:12:53.731,(punctual),18,00:00:32.578,32.578,0.5
MT208PN41005,MTBrowsingPageEvent,15:53:14.000,01:13:26.309,(punctual),19,00:00:00.829,0.829,0
MT208PN41005,MTBrowsingPageEvent,15:53:15.000,01:13:27.138,(punctual),17,00:00:01.875,1.875,1
MT208PN41005,MTBrowsingPageEvent,15:53:17.000,01:13:29.013,(punctual),20,00:00:00.718,0.718,0
MT208PN41005,MTBrowsingPageEvent,15:53:18.000,01:13:29.731,(punctual),21,00:00:01.000,1.0,0
MT208PN41005,MTBrowsingPageEvent,15:53:19.000,01:13:30.731,(punctual),22,00:00:00.860,0.86,1
MT208PN41005,MTBrowsingPageEvent,15:53:20.000,01:13:31.591,(punctual),23,00:00:01.922,1.922,1
MT208PN41005,MTBrowsingPageEvent,15:53:22.000,01:13:33.513,(punctual),24,00:00:00.640,0.64,1
MT208PN41005,MTBrowsingPageEvent,15:53:22.000,01:13:34.153,(punctual),25,00:00:00.516,0.516,0
MT208PN41005,MTBrowsingPageEvent,15:53:23.000,01:13:34.669,(punctual),26,00:00:01.609,1.609,0
MT208PN41005,MTBrowsingPageEvent,15:53:24.000,01:13:36.278,(punctual),14,00:00:01.797,1.797,1
MT208PN41005,MTBrowsingPageEvent,15:53:26.000,01:13:38.075,(punctual),15,00:00:14.160,14.016,1
MT208PN41005,MTBrowsingPageEvent,15:53:40.000,01:13:52.091,(punctual),16,00:00:02.172,2.172,1
MT208PN41005,MTBrowsingPageEvent,15:53:42.000,01:13:54.263,(punctual),14,00:00:16.125,16.125,1
MT208PN41005,MTBrowsingPageEvent,15:53:58.000,01:14:10.388,(punctual),10,00:00:00.422,0.422,0
MT208PN41005,MTBrowsingPageEvent,15:53:59.000,01:14:10.810,(punctual),8,00:00:02.172,2.172,0
MT208PN41005,MTBrowsingPageEvent,15:54:01.000,01:14:12.982,(punctual),10,00:00:01.780,1.078,0
MT208PN41005,MTBrowsingPageEvent,15:54:02.000,01:14:14.060,(punctual),12,00:00:00.344,0.344,0
MT208PN41005,MTBrowsingPageEvent,15:54:02.000,01:14:14.404,(punctual),11,00:00:00.344,0.344,0
MT208PN41005,MTBrowsingPageEvent,15:54:03.000,01:14:14.748,(punctual),13,00:00:01.640,1.64,1
MT208PN41005,MTBrowsingPageEvent,15:54:04.000,01:14:16.388,(punctual),22,00:00:01.907,1.907,1
MT208PN41005,MTBrowsingPageEvent,15:54:06.000,01:14:18.295,(punctual),20,00:00:12.000,12.0,0
MT208PN41005,MTBrowsingPageEvent,15:54:18.000,01:14:30.295,(punctual),21,00:00:00.594,0.594,0
MT208PN41005,MTBrowsingPageEvent,15:54:19.000,01:14:30.889,(punctual),19,00:00:00.781,0.781,0
MT208PN41005,MTBrowsingPageEvent,15:54:20.000,01:14:31.670,(punctual),23,00:03:18.423,198.423,1
MT208PN41005,MTBrowsingPageEvent,15:57:38.000,01:17:50.093,(punctual),8,00:00:30.953,30.953,1
MT208PN41005,MTBrowsingPageEvent,15:58:09.000,01:18:21.046,(punctual),7,00:00:21.188,21.188,1
MT208PN41005,MTBrowsingPageEvent,15:58:30.000,01:18:42.234,(punctual),8,00:00:00.500,0.5,1
MT208PN41005,MTBrowsingPageEvent,15:58:31.000,01:18:42.734,(punctual),9,00:00:10.594,10.594,1
MT208PN41005,MTBrowsingPageEvent,15:58:41.000,01:18:53.328,(punctual),10,00:00:33.141,33.141,1
MT208PN41005,MTBrowsingPageEvent,15:59:45.000,01:19:56.813,(punctual),9,00:00:05.437,5.437,1
MT208PN41005,MTBrowsingPageEvent,15:59:50.000,01:20:02.250,(punctual),10,00:00:06.656,6.656,1
MT208PN41005,MTBrowsingPageEvent,15:59:57.000,01:20:08.906,(punctual),11,00:00:11.907,11.907,1
