ID,Group,DurationDay2,TimeSpentWithContentOverall,TimePageRelSG,TimePageIrrelSG,TotalTimeWithRelTextContent,TotalTimeWithRelFullContent,TotalTimeWithIrrelTextContent,TotalTimeWithIrrelFullContent,NumberSG,TotalTimeSettingSG,NoteTakingDuration,NoteCheckingDuration,NoteCheckingNum,TimePaperNotes,TimeINF,FlagWorkedWithoutSubgoal,RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active,RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active,RatioPagesRelevantToInitialSubgoal1ReadAtAnytime,RatioPagesRelevantToInitialSubgoal2ReadAtAnytime,numPLAN,numMPTG,numJOL,numFOK,numCE,numINF,AVGNumSRLpePagetoSG0AnyTime,AVGNumSRLpePagetoSG1AnyTime,ImagesOpened_num,TimeFullView_total
MT208PN41005,Control,4982416,0.7863199299295763,0.6370501780662233,0.08839908189119496,0.5575249035809133,0.05756042851500156,0.0006053288203955672,0.012312701307959834,1.204235053837335e-06,0.0002593119482596395,0.0,0.0,0.0,0.0010161736795964045,0.0,1,0.7777777777777778,0.15,1.0,0.7,2.007058423062225e-06,1.204235053837335e-06,2.0070584230622253e-07,0.0,0.0,0.0,0.3333333333333333,0.45,1.403800806280792e-06,0.0
MT208PN41008,Feedback,4599345,0.8903289490133921,0.40374401137553284,0.3216260141389698,0.40374401137553284,0.0,0.0,0.0,6.522667901625123e-07,0.00018263470124550344,0.0,0.0,0.0,0.0,0.0,1,1.0,0.2222222222222222,1.0,1.0,1.0871113169375205e-06,8.696890535500164e-07,1.0871113169375205e-06,0.0,0.0,0.0,0.7333333333333333,1.5555555555555556,0.0,0.0
MT208PN41009,Feedback,5031256,0.8378408890344677,0.2853625416794534,0.3266713122925965,0.2853625416794534,0.0,0.0,0.005223745323235391,3.9751505389509103e-07,0.0001415153591866524,0.0,0.03749361988338498,1.9875752694754552e-07,0.0,0.0,0,0.6363636363636364,0.0,0.7272727272727273,0.7142857142857143,3.9751505389509103e-07,5.962725808426365e-07,3.9751505389509103e-07,0.0,0.0,0.0,0.875,0.6,1.1849206055797437e-07,0.0
MT208PN41010,Control,4731337,0.9613682136782901,0.5947712031503991,0.17438791614294227,0.4697716522834877,0.1249995508669114,0.0,0.044146929292925026,4.227134951494683e-07,0.00012195284335062161,0.0,0.0,0.0,0.0033024491808552213,0.0,0,0.6428571428571429,0.5,0.9285714285714286,0.8,4.227134951494683e-07,2.1135674757473416e-07,2.1135674757473416e-07,2.1135674757473416e-07,0.0,0.0,0.14285714285714285,0.05555555555555555,1.7295250536837371e-06,0.0002634643165111559
MT208PN41011,Feedback,4562421,0.8809149791305976,0.5954415429878128,0.13923616430837926,0.37149421326966536,0.22394732971814746,0.0,0.05639505867608447,4.383637546819989e-07,0.0001529889503840176,0.07321485676135543,0.0,0.0,0.035802921299897573,0.0,0,0.5,0.4666666666666667,0.7142857142857143,0.6,4.383637546819989e-07,6.575456320229983e-07,4.383637546819989e-07,0.0,0.0,0.0,0.7,0.6666666666666666,2.7561319341982686e-06,0.06792288097858608
MT208PN41012,Control,4349119,0.923184902505542,0.5217629133624534,0.3066673963163574,0.4209266290483199,0.08707602620208829,0.01150462886851337,0.23599423239511266,4.5986325046520916e-07,0.0001250828041265369,0.16633276762489138,0.00038421574576368223,2.2993162523260458e-07,0.0,0.0,0,0.4,0.0,0.55,0.36363636363636365,4.5986325046520916e-07,0.0,2.2993162523260458e-07,1.1496581261630228e-06,2.2993162523260458e-07,0.0,0.9090909090909091,0.5,6.583872278144902e-07,0.02782196287617777
MT208PN41013,Feedback,4963209,0.8387089884790264,0.20855901897341014,0.3782653521139247,0.10087989443926298,0.08394246544926881,0.10955391965158026,0.1464020556055568,4.0296509778250324e-07,0.00015433563245069874,0.2279406327640041,0.015327180459255293,2.0148254889125162e-07,0.0,0.0,0,0.5555555555555556,0.0,0.5555555555555556,0.2,4.0296509778250324e-07,0.0,0.0,0.0,2.0148254889125162e-07,0.0,2.0,4.0,1.5050444575082304e-06,0.0
MT208PN41017,Control,4947375,0.9106999166224513,0.39719649308976984,0.3346995123676697,0.04975810404507441,0.34743838904469543,0.0,0.26742424012734023,4.0425478157608835e-07,0.00018919123777760933,0.0,0.06021556886227545,4.0425478157608835e-07,0.0,0.0,0,0.5714285714285714,0.0,0.5714285714285714,0.45,4.0425478157608835e-07,0.0,0.0,0.0,0.0,0.0,0.3,0.1,2.835441123752828e-06,0.0
MT208PN41018,Feedback,4767074,0.8781936256915668,0.6323165950434165,0.010321845224135392,0.35663490854138197,0.2663434635166142,0.0003408799611669548,0.004556044231744672,4.1954456759009827e-07,0.0001246047365742592,0.2684900632966889,0.0,0.0,0.0,0.0,0,0.47368421052631576,0.0,0.47368421052631576,0.0,4.1954456759009827e-07,2.0977228379504913e-07,0.0,0.0,0.0,0.0,1.5454545454545454,0.0,1.0621711537075464e-06,0.017666334105936397
MT208PN41019,Feedback,4393546,0.9602628491883322,0.482569204920126,0.30223127287161666,0.36413093205351665,0.0577449285838819,0.006387323587826325,0.020279063881429714,4.5521316949907887e-07,0.000129963359891987,0.21212751613389275,0.0,0.0,0.0,0.0,0,0.7333333333333333,0.0,0.8,0.9090909090909091,4.5521316949907887e-07,0.0,9.104263389981577e-07,0.0,0.0,0.0,1.1666666666666667,0.2,1.4409681000083096e-06,0.0
MT208PN41020,Control,4558988,0.9174312369324069,0.12312008717724196,0.6779570378338351,0.12312008717724196,0.0,0.0,0.28328216700723935,4.386938504773428e-07,0.00014433027680704579,0.28920234051943106,0.0008808972517585043,2.193469252386714e-07,0.0,0.0,1,0.4,0.0,0.8,0.8181818181818182,8.773877009546856e-07,4.386938504773428e-07,0.0,2.193469252386714e-07,0.0,0.0,1.2,0.5454545454545454,2.6585371727614413e-06,0.0
MT208PN41023,Control,4505066,0.9280976127763721,0.48322155546666795,0.33139447901540176,0.14517545358935918,0.33804610187730877,0.0,0.23288338062083885,4.439446614100659e-07,0.00013074170278526442,0.0,0.0,0.0,0.16210439536290921,0.0,0,0.6428571428571429,0.0,0.6428571428571429,0.7777777777777778,6.659169921150988e-07,0.0,2.2197233070503296e-07,0.0,0.0,0.0,0.08333333333333333,0.125,3.1837955117883063e-06,0.0
MT208PN41024,Feedback,4455082,0.9060279923018252,0.4338333166482682,0.29561453638788243,0.41174101845936845,0.0,0.03209144074115808,0.014881432036492257,6.733882788240486e-07,0.00018495731391700534,0.0,0.0,0.0,0.4018220091122902,0.0,1,0.8181818181818182,0.07142857142857142,0.9090909090909091,0.8571428571428571,8.978510384320648e-07,4.489255192160324e-07,8.978510384320648e-07,0.0,0.0,0.0,0.6,0.5833333333333334,4.779776574123819e-07,0.0011700893053455108
MT208PN41027,Control,4655851,0.8653262314451214,0.6813684544458145,0.09610552399550587,0.37966335262876755,0.29245910146179505,0.0019330515516926981,0.05448864235560803,8.591340229745325e-07,0.00019738604177839883,0.0,0.0,0.0,0.06264096509961337,0.0,1,0.2727272727272727,0.10526315789473684,0.8181818181818182,0.7894736842105263,1.2887010344617987e-06,6.443505172308994e-07,0.0,0.0,0.0,0.0,0.4444444444444444,0.4666666666666667,2.7283851643147227e-06,0.0
MT208PN41029,Control,4755256,0.8474847621242684,0.35839332309343597,0.41436696573223397,0.3016432764082523,0.05675004668518372,0.0,0.2629612369975455,4.2058724072899544e-07,0.00017433341128216863,0.0,0.0,0.0,0.38881481880260493,0.0,0,0.45454545454545453,0.0,0.5454545454545454,0.5,4.2058724072899544e-07,2.1029362036449772e-07,2.1029362036449772e-07,0.0,0.0,0.0,0.3333333333333333,0.1,9.169425772352195e-07,0.0
